#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Salmonella enterica subsp. enterica serovar Typhimurium var. 5- str. CFSAN001921","CFSAN001921",19669,SAMN01832087 ,PRJNA184140,"Proteobacteria","Gammaproteobacteria",GCA_000430145.3 ,5.08922,52.1726,chromosome:NC_021814.1/CP006048.1; plasmid unnamed:NC_021815.1/CP006050.1; plasmid unnamed2:NC_021843.1/CP006051.1; plasmid unnamed3:NC_021816.1/CP006052.1,-,4,5195,4912,2013/07/16,2017/01/23,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/430/145/GCF_000430145.2_ASM43014v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/145/GCA_000430145.3_ASM43014v3
"Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. 08-1736","08-1736",19669,SAMN02212496 ,PRJNA50689,"Proteobacteria","Gammaproteobacteria",GCA_000430165.1 ,4.82219,52.2,chromosome:NC_021820.1/CP006602.1,-,1,4927,4672,2013/07/16,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/430/165/GCF_000430165.1_ASM43016v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/165/GCA_000430165.1_ASM43016v1
"Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000189","CFSAN000189",19669,SAMN01823701 ,PRJNA159279,"Proteobacteria","Gammaproteobacteria",GCA_000439415.1 ,4.80881,52.174,chromosome:NC_021844.1/CP006053.1; plasmid unnamed:NC_021817.1/CP006054.1,-,2,4870,4608,2013/07/16,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/415/GCF_000439415.1_ASM43941v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/415/GCA_000439415.1_ASM43941v1
"Salmonella enterica subsp. enterica serovar Newport str. USMARC-S3124.1","USMARC-S3124.1",19669,SAMN02297856 ,PRJNA51643,"Proteobacteria","Gammaproteobacteria",GCA_000442415.1 ,4.91596,52.1,chromosome:NC_021902.1/CP006631.1,-,1,5074,4804,2013/07/31,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/442/415/GCF_000442415.1_ASM44241v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/442/415/GCA_000442415.1_ASM44241v1
"Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str. CDC1983-67","CDC1983-67",19669,SAMN01884234 ,PRJNA173203,"Proteobacteria","Gammaproteobacteria",GCA_000462995.1 ,4.62309,52.2,chromosome:NC_022221.1/CP003786.1,-,1,4686,4245,2013/08/30,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/462/995/GCF_000462995.1_ASM46299v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/462/995/GCA_000462995.1_ASM46299v1
"Salmonella enterica subsp. enterica serovar Thompson str. RM6836","RM6836",19669,SAMN02604282 ,PRJNA70669,"Proteobacteria","Gammaproteobacteria",GCA_000473275.1 ,4.70765,52.2,chromosome:NC_022525.1/CP006717.1,-,1,4759,4509,2013/09/30,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/473/275/GCF_000473275.1_ASM47327v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/473/275/GCA_000473275.1_ASM47327v1
"Salmonella enterica subsp. enterica serovar Newport str. WA_14882","WA_14882",19669,SAMN02415193 ,PRJNA63695,"Proteobacteria","Gammaproteobacteria",GCA_000483715.2 ,4.71254,52.2,chromosome:NZ_CP016357.1/CP016357.1,-,1,4740,4485,2016/12/05,2016/12/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/483/715/GCF_000483715.2_ASM48371v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/483/715/GCA_000483715.2_ASM48371v2
"Salmonella enterica subsp. enterica serovar Agona str. 460004 2-1","460004 2-1",19669,SAMN02415150 ,PRJNA78433,"Proteobacteria","Gammaproteobacteria",GCA_000484195.2 ,4.79717,52.1,chromosome:NZ_CP011259.1/CP011259.1,-,1,4871,4608,2015/04/15,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/484/195/GCF_000484195.2_ASM48419v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/484/195/GCA_000484195.2_ASM48419v2
"Salmonella enterica subsp. enterica serovar Heidelberg str. SARA35","SARA35",19669,SAMN01087969 ,PRJNA66675,"Proteobacteria","Gammaproteobacteria",GCA_000486045.2 ,4.75121,52.2,chromosome:NZ_CP019176.1/CP019176.1,-,1,4790,4510,2017/01/17,2017/01/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/045/GCF_000486045.2_ASM48604v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/045/GCA_000486045.2_ASM48604v2
"Salmonella enterica subsp. enterica serovar Saintpaul str. SARA26","SARA26",19669,SAMN01805318 ,PRJNA42913,"Proteobacteria","Gammaproteobacteria",GCA_000486165.2 ,4.68679,52,chromosome:NZ_CP017727.1/CP017727.1,-,1,4489,4314,2016/10/27,2016/10/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/165/GCF_000486165.2_ASM48616v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/165/GCA_000486165.2_ASM48616v2
"Salmonella enterica subsp. enterica serovar Typhimurium str. SARA13","SARA13",19669,SAMN01823705 ,PRJNA66667,"Proteobacteria","Gammaproteobacteria",GCA_000486345.2 ,4.91363,52.2172,chromosome:NZ_CP017728.1/CP017728.1; plasmid pSARA13:NZ_CP017729.1/CP017729.1,-,2,4770,4572,2016/10/27,2016/11/02,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/345/GCF_000486345.2_ASM48634v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/345/GCA_000486345.2_ASM48634v2
"Salmonella enterica subsp. enterica serovar Thompson str. ATCC 8391","ATCC 8391",19669,SAMN01823736 ,PRJNA61153,"Proteobacteria","Gammaproteobacteria",GCA_000486365.2 ,4.69043,52.3,chromosome:NZ_CP011396.1/CP011396.1,-,1,4738,4483,2015/05/11,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/365/GCF_000486365.2_ASM48636v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/365/GCA_000486365.2_ASM48636v2
"Salmonella enterica subsp. enterica serovar Tennessee str. TXSC_TXSC08-19","TXSC_TXSC08-19",19669,SAMN01813424 ,PRJNA65249,"Proteobacteria","Gammaproteobacteria",GCA_000486405.2 ,4.86441,52.2,chromosome:NZ_CP007505.1/CP007505.1,-,1,4929,4668,2014/03/28,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/405/GCF_000486405.2_ASM48640v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/405/GCA_000486405.2_ASM48640v2
"Salmonella enterica subsp. enterica serovar Sloterdijk str. ATCC 15791","ATCC 15791",19669,SAMN01805326 ,PRJNA61353,"Proteobacteria","Gammaproteobacteria",GCA_000486445.2 ,4.81779,52.2,chromosome:NZ_CP012349.1/CP012349.1,-,1,4878,4578,2015/08/12,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/445/GCF_000486445.2_ASM48644v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/445/GCA_000486445.2_ASM48644v2
"Salmonella enterica subsp. enterica serovar Rubislaw str. ATCC 10717","ATCC 10717",19669,SAMN01823732 ,PRJNA61359,"Proteobacteria","Gammaproteobacteria",GCA_000486585.2 ,4.7698,52.2835,chromosome:NZ_CP019192.1/CP019192.1; plasmid pATCC10717:NZ_CP019193.1/CP019193.1,-,2,4759,4484,2017/01/17,2017/01/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/585/GCF_000486585.2_ASM48658v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/585/GCA_000486585.2_ASM48658v2
"Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 11511","ATCC 11511",19669,SAMN01823726 ,PRJNA61433,"Proteobacteria","Gammaproteobacteria",GCA_000486725.2 ,4.58069,52.2,chromosome:NZ_CP019185.1/CP019185.1,-,1,4650,4293,2017/01/17,2017/01/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/725/GCF_000486725.2_ASM48672v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/725/GCA_000486725.2_ASM48672v2
"Salmonella enterica subsp. enterica serovar Panama str. ATCC 7378","ATCC 7378",19669,SAMN01805327 ,PRJNA78385,"Proteobacteria","Gammaproteobacteria",GCA_000486765.2 ,4.55558,52.3,chromosome:NZ_CP012346.1/CP012346.1,-,1,4628,4331,2015/08/12,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/765/GCF_000486765.2_ASM48676v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/765/GCA_000486765.2_ASM48676v2
"Salmonella enterica subsp. enterica serovar Minnesota str. ATCC 49284","ATCC 49284",19669,SAMN01823721 ,PRJNA78459,"Proteobacteria","Gammaproteobacteria",GCA_000486855.2 ,4.59239,52.2,chromosome:NZ_CP019184.1/CP019184.1,-,1,4614,4347,2017/01/17,2017/01/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/855/GCF_000486855.2_ASM48685v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/855/GCA_000486855.2_ASM48685v2
"Salmonella enterica subsp. enterica serovar Mbandaka str. ATCC 51958","ATCC 51958",19669,SAMN01823720 ,PRJNA62843,"Proteobacteria","Gammaproteobacteria",GCA_000486915.2 ,4.90518,52.2,chromosome:NZ_CP019183.1/CP019183.1,-,1,4938,4654,2017/01/17,2017/01/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/915/GCF_000486915.2_ASM48691v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/915/GCA_000486915.2_ASM48691v2
"Salmonella enterica subsp. enterica serovar Muenster str. 0315","315",19669,SAMN01805332 ,PRJNA78397,"Proteobacteria","Gammaproteobacteria",GCA_000487035.2 ,4.97282,51.9579,chromosome:NZ_CP019198.1/CP019198.1; plasmid pCFSAN001297_01:NZ_CP019200.1/CP019200.1; plasmid pCFSAN001297_02:NZ_CP019199.1/CP019199.1,-,3,5118,4851,2017/01/17,2017/01/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/487/035/GCF_000487035.2_ASM48703v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/487/035/GCA_000487035.2_ASM48703v2
"Salmonella enterica subsp. enterica serovar Inverness str. ATCC 10720","ATCC 10720",19669,SAMN01823716 ,PRJNA61429,"Proteobacteria","Gammaproteobacteria",GCA_000487155.2 ,4.98988,52.0652,chromosome:NZ_CP019181.1/CP019181.1; plasmid pATCC10720:NZ_CP019182.1/CP019182.1,-,2,5088,4774,2017/01/17,2017/01/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/487/155/GCF_000487155.2_ASM48715v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/487/155/GCA_000487155.2_ASM48715v2
"Salmonella enterica subsp. enterica serovar Chester str. ATCC 11997","ATCC 11997",19669,SAMN01823711 ,PRJNA61435,"Proteobacteria","Gammaproteobacteria",GCA_000487255.2 ,4.66092,52.2,chromosome:NZ_CP019178.1/CP019178.1,-,1,4701,4416,2017/01/17,2017/01/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/487/255/GCF_000487255.2_ASM48725v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/487/255/GCA_000487255.2_ASM48725v2
"Salmonella enterica subsp. enterica serovar Choleraesuis str. ATCC 10708","ATCC 10708",19669,SAMN01823712 ,PRJNA61355,"Proteobacteria","Gammaproteobacteria",GCA_000487295.2 ,4.94344,52.0988,chromosome:NZ_CP012344.1/CP012344.1; plasmid pCFSAN000679_01:NZ_CP012345.1/CP012345.1,-,2,5065,4747,2015/08/12,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/487/295/GCF_000487295.2_ASM48729v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/487/295/GCA_000487295.2_ASM48729v2
"Salmonella enterica subsp. enterica serovar Albany str. ATCC 51960","ATCC 51960",19669,SAMN01823708 ,PRJNA161323,"Proteobacteria","Gammaproteobacteria",GCA_000487515.2 ,4.80545,52.1,chromosome:NZ_CP019177.1/CP019177.1,-,1,4814,4525,2017/01/17,2017/01/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/487/515/GCF_000487515.2_ASM48751v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/487/515/GCA_000487515.2_ASM48751v2
"Salmonella enterica subsp. enterica serovar Anatum str. ATCC BAA-1592","ATCC BAA-1592",19669,SAMN01813417 ,PRJNA62791,"Proteobacteria","Gammaproteobacteria",GCA_000487575.2 ,4.7061,52.2,chromosome:NZ_CP007531.1/CP007531.1,-,1,4772,4518,2014/04/04,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/487/575/GCF_000487575.2_ASM48757v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/487/575/GCA_000487575.2_ASM48757v2
"Salmonella enterica subsp. enterica serovar Abony str. 0014","14",19669,SAMN01823751 ,PRJNA66687,"Proteobacteria","Gammaproteobacteria",GCA_000487615.2 ,4.73745,52.2,chromosome:NZ_CP007534.1/CP007534.1,-,1,4816,4551,2014/04/04,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/487/615/GCF_000487615.2_ASM48761v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/487/615/GCA_000487615.2_ASM48761v2
"Salmonella enterica subsp. enterica serovar Bredeney str. CFSAN001080","CFSAN001080",19669,SAMN01813431 ,PRJNA167391,"Proteobacteria","Gammaproteobacteria",GCA_000487775.2 ,4.60385,52.3,chromosome:NZ_CP007533.1/CP007533.1,-,1,4659,4403,2014/04/04,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/487/775/GCF_000487775.1_ASM48777v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/487/775/GCA_000487775.2_ASM48777v2
"Salmonella enterica subsp. enterica serovar Abaetetuba str. ATCC 35640","ATCC 35640",19669,SAMN01813419 ,PRJNA170546,"Proteobacteria","Gammaproteobacteria",GCA_000487915.2 ,4.5476,52.3,chromosome:NZ_CP007532.1/CP007532.1,-,1,4617,4326,2014/04/04,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/487/915/GCF_000487915.2_ASM48791v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/487/915/GCA_000487915.2_ASM48791v2
"Salmonella enterica subsp. enterica serovar Stanleyville str. CFSAN000624","SARB61",19669,SAMN01823707 ,PRJNA167396,"Proteobacteria","Gammaproteobacteria",GCA_000487935.2 ,5.10298,52.0761,chromosome:NZ_CP017723.1/CP017723.1; plasmid pSARB26_01:NZ_CP017724.1/CP017724.1; plasmid pSARB26_02:NZ_CP017725.1/CP017725.1; plasmid pSARB26_03:NZ_CP017726.1/CP017726.1,-,4,4991,4649,2016/10/27,2016/10/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/487/935/GCF_000487935.2_ASM48793v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/487/935/GCA_000487935.2_ASM48793v2
"Salmonella enterica subsp. enterica serovar Typhimurium str. DT2","DT2",19669,SAMEA2272227 ,PRJEB4149,"Proteobacteria","Gammaproteobacteria",GCA_000493535.2 ,4.90864,52.2172,chromosome I:NC_022544.1/HG326213.1; plasmid pSLT:NZ_LN999012.1/LN999012.1,-,2,5027,4738,2013/09/30,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/493/535/GCF_000493535.2_DT2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/493/535/GCA_000493535.2_DT2
"Salmonella enterica subsp. enterica serovar Typhimurium str. DT104","DT104",19669,SAMEA2272504 ,PRJEB1666,"Proteobacteria","Gammaproteobacteria",GCA_000493675.1 ,5.02766,52.1187,chromosome I:NC_022569.1/HF937208.1; plasmid II:NC_022570.1/HF937209.1,-,2,5199,4910,2013/09/21,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/493/675/GCF_000493675.1_DT104,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/493/675/GCA_000493675.1_DT104
"Salmonella enterica subsp. enterica serovar Agona str. 392869-2","392869-2",19669,SAMN02415169 ,PRJNA71289,"Proteobacteria","Gammaproteobacteria",GCA_000494385.2 ,4.79853,52.1,chromosome:NZ_CP015024.1/CP015024.1,-,1,4865,4602,2016/04/06,2016/11/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/494/385/GCF_000494385.2_ASM49438v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/494/385/GCA_000494385.2_ASM49438v2
"Salmonella enterica subsp. enterica serovar Agona str. 24249","24249",19669,SAMN02641385 ,PRJNA222376,"Proteobacteria","Gammaproteobacteria",GCA_000503845.1 ,4.76284,52.1,chromosome:NC_022991.1/CP006876.1,-,1,4826,4569,2013/12/04,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/503/845/GCF_000503845.1_ASM50384v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/503/845/GCA_000503845.1_ASM50384v1
"Salmonella enterica subsp. enterica serovar Cerro str. CFSAN001588","CFSAN001588",19669,SAMN02383555 ,PRJNA224206,"Proteobacteria","Gammaproteobacteria",GCA_000505365.2 ,4.76824,52.169,chromosome:NZ_CP012833.1/CP012833.1; plasmid pCFSAN001588_001:NZ_CP012834.1/CP012834.1; plasmid pCFSAN001588_002:NZ_CP012835.1/CP012835.1,-,3,4889,4588,2015/10/06,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/505/365/GCF_000505365.2_ASM50536v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/505/365/GCA_000505365.2_ASM50536v2
"Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN002064","CFSAN002064",19669,SAMN01933202 ,PRJNA191769,"Proteobacteria","Gammaproteobacteria",GCA_000505705.1 ,4.82156,52.114,chromosome:NZ_CP005995.1/CP005995.1; plasmid unnamed:NZ_CP005994.1/CP005994.1,-,2,4911,4643,2013/12/11,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/505/705/GCF_000505705.1_ASM50570v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/505/705/GCA_000505705.1_ASM50570v1
"Salmonella enterica subsp. enterica serovar Enteritidis","Durban",19669,SAMN02712059 ,PRJNA241513,"Proteobacteria","Gammaproteobacteria",GCA_000612325.1 ,4.7383,52.1975,chromosome:NZ_CP007507.1/CP007507.1; plasmid unnamed:NZ_CP007508.1/CP007508.1,-,2,4832,4562,2014/04/04,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/612/325/GCF_000612325.1_ASM61232v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/612/325/GCA_000612325.1_ASM61232v1
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121175","EC20121175",19669,SAMN02384313 ,PRJNA219482,"Proteobacteria","Gammaproteobacteria",GCA_000623055.2 ,4.67995,52.2,chromosome:NZ_CP007269.1/CP007269.2,-,1,4758,4502,2014/04/01,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/055/GCF_000623055.1_ASM62305v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/055/GCA_000623055.2_ASM62305v2
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121178","EC20121178",19669,SAMN02384316 ,PRJNA219482,"Proteobacteria","Gammaproteobacteria",GCA_000623095.2 ,4.68585,52.2,chromosome:NZ_CP007271.1/CP007271.2,-,1,4767,4511,2014/04/01,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/095/GCF_000623095.1_ASM62309v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/095/GCA_000623095.2_ASM62309v2
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121179","EC20121179",19669,SAMN02384317 ,PRJNA219482,"Proteobacteria","Gammaproteobacteria",GCA_000623115.2 ,4.68585,52.2,chromosome:NZ_CP007272.2/CP007272.2,-,1,4766,4510,2014/04/01,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/115/GCF_000623115.2_ASM62311v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/115/GCA_000623115.2_ASM62311v2
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121180","EC20121180",19669,SAMN02384318 ,PRJNA219482,"Proteobacteria","Gammaproteobacteria",GCA_000623135.2 ,4.68585,52.2,chromosome:NZ_CP007273.1/CP007273.2,-,1,4765,4509,2014/04/01,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/135/GCF_000623135.1_ASM62313v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/135/GCA_000623135.2_ASM62313v2
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120005","EC20120005",19669,SAMN02384189 ,PRJNA219482,"Proteobacteria","Gammaproteobacteria",GCA_000623195.2 ,4.67929,52.2,chromosome:NZ_CP007267.2/CP007267.2,-,1,4758,4503,2014/04/01,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/195/GCF_000623195.2_ASM62319v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/195/GCA_000623195.2_ASM62319v2
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110361","EC20110361",19669,SAMN02384167 ,PRJNA219482,"Proteobacteria","Gammaproteobacteria",GCA_000623275.1 ,4.68291,52.2,chromosome:NZ_CP007263.1/CP007263.1,-,1,4755,4493,2014/04/01,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/275/GCF_000623275.1_ASM62327v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/275/GCA_000623275.1_ASM62327v1
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110360","EC20110360",19669,SAMN02384166 ,PRJNA219482,"Proteobacteria","Gammaproteobacteria",GCA_000623295.1 ,4.67862,52.2,chromosome:NZ_CP007258.1/CP007258.1,-,1,4752,4496,2014/04/01,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/295/GCF_000623295.1_ASM62329v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/295/GCA_000623295.1_ASM62329v1
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110359","EC20110359",19669,SAMN02384164 ,PRJNA219482,"Proteobacteria","Gammaproteobacteria",GCA_000623315.1 ,4.71147,52.2,chromosome:NZ_CP007259.1/CP007259.1,-,1,4794,4540,2014/04/01,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/315/GCF_000623315.1_ASM62331v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/315/GCA_000623315.1_ASM62331v1
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110358","EC20110358",19669,SAMN02384163 ,PRJNA219482,"Proteobacteria","Gammaproteobacteria",GCA_000623335.1 ,4.67869,52.2,chromosome:NZ_CP007260.1/CP007260.1,-,1,4748,4500,2014/04/01,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/335/GCF_000623335.1_ASM62333v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/335/GCA_000623335.1_ASM62333v1
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110357","EC20110357",19669,SAMN02384162 ,PRJNA219482,"Proteobacteria","Gammaproteobacteria",GCA_000623355.1 ,4.67842,52.2,chromosome:NZ_CP007261.1/CP007261.1,-,1,4751,4503,2014/04/01,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/355/GCF_000623355.1_ASM62335v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/355/GCA_000623355.1_ASM62335v1
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110356","EC20110356",19669,SAMN02384161 ,PRJNA219482,"Proteobacteria","Gammaproteobacteria",GCA_000623375.1 ,4.68281,52.2,chromosome:NZ_CP007262.1/CP007262.1,-,1,4759,4508,2014/04/01,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/375/GCF_000623375.1_ASM62337v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/375/GCA_000623375.1_ASM62337v1
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA19981857","SA19981857",19669,SAMN02384207 ,PRJNA219482,"Proteobacteria","Gammaproteobacteria",GCA_000623395.2 ,4.68585,52.2,chromosome:NZ_CP007288.2/CP007288.2,-,1,4767,4509,2014/04/01,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/395/GCF_000623395.2_ASM62339v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/395/GCA_000623395.2_ASM62339v2
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA19992322","SA19992322",19669,SAMN02384169 ,PRJNA219482,"Proteobacteria","Gammaproteobacteria",GCA_000623455.2 ,4.68585,52.2,chromosome:NZ_CP007291.2/CP007291.2,-,1,4766,4507,2014/04/01,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/455/GCF_000623455.2_ASM62345v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/455/GCA_000623455.2_ASM62345v2
